employee_id,first_name,middle_name,full_name,work_email,date_of_birth,gender,marital_status,nationality,blood_group,emergency_contact,personal_email,phone_number,current_address,permanent_address,department,designation,reporting_manager,reporting_manager_name,date_of_joining,employment_type,employment_status,created_at,work_location,resume_cv,offer_letter,employment_contract,nda,government_id,photograph
SE-0101,sunny,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Unmarried,India,A-,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Research & Development (R&D),cto,shubhangi,,28-08-2026,,Active,16-09-2026 19:27,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0102,rahul,shivaji,hapse,,02-09-1991,,,,A+,,,,,,Executive / Leadership,,,,16-09-2026,,,16-09-2026 19:28,,,,,,,
SE-0103,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,Human Resources (HR),,SE-0102,hapse,16-09-2026,,Active,16-09-2026 19:28,,,,,,,
SE-0104,sunny,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Married,India,A+,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Finance & Accounting,cto,shubhangi,,28-08-2026,,Active,16-09-2026 19:28,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0105,rahul,shivaji,hapse,,02-09-1991,,,,,,,,,,Operations & Logistics,,,,16-09-2026,,,16-09-2026 19:29,,,,,,,
SE-0106,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,Executive / Leadership,,,,16-09-2026,,,16-09-2026 19:29,,,,,,,
SE-0107,sham,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Married,India,A-,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Executive / Leadership,cto,SE-0101,hapse,28-08-2026,,On-Leave,16-09-2026 19:30,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0108,rahul,shivaji,hapse,,02-09-1991,,,,,,,,,,,,,,16-09-2026,,,16-09-2026 09:57,,,,,,,
SE-0109,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,,,,,16-09-2026,,,16-09-2026 19:09,,,,,,,
SE-0110,sunny,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Unmarried,India,A-,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Research & Development (R&D),cto,shubhangi,,28-08-2026,,Active,16-09-2026 19:27,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0111,rahul,shivaji,hapse,,02-09-1991,,,,A+,,,,,,Executive / Leadership,,,,16-09-2026,,,16-09-2026 19:28,,,,,,,
SE-0112,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,Human Resources (HR),,SE-0102,hapse,16-09-2026,,Active,16-09-2026 19:28,,,,,,,
SE-0113,sunny,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Married,India,A+,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Finance & Accounting,cto,shubhangi,,28-08-2026,,Active,16-09-2026 19:28,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0114,rahul,shivaji,hapse,,02-09-1991,,,,,,,,,,Operations & Logistics,,,,16-09-2026,,,16-09-2026 19:29,,,,,,,
SE-0115,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,Executive / Leadership,,,,16-09-2026,,,16-09-2026 19:29,,,,,,,
SE-0116,sham,shivaji,hapse,sunny@saark.com,18-08-1997,Male,Married,India,A-,1234560987,sunny@gmail.com,2.35E+11,pune,rahuri,Executive / Leadership,cto,SE-0101,hapse,28-08-2026,,On-Leave,16-09-2026 19:30,pune,D:/PRODUCT/OneDrive/Desktop/New Text Document.txt,,,,,
SE-0117,rahul,shivaji,hapse,,02-09-1991,,,,,,,,,,,,,,16-09-2026,,,16-09-2026 09:57,,,,,,,
SE-0118,lskdfjiksd,spaodfj;sfj,;saldfs;lf,,16-09-2026,,,,,,,,,,,,,,16-09-2026,,,16-09-2026 19:09,,,,,,,
SE-0119,aaaaaaaaaaa,bbbbbbbb,bbbbbbbbb,,2026-09-19,,,,,,,,,,,,,,2026-09-19,,,2026-09-19 16:51:52,,,,,,,
SE-0120,ssssss,sssss,ssssss,,2026-09-19,,,,,,,,,,,,,,2026-09-19,,,2026-09-19 16:59:47,,,,,,,
